company,company_size,job_title,level,domain,yoe_total,yoe_at_company,base,stock,bonus,total_compensation,location
Logitech,"7,250",Software Engineer,I4,Testing (SDET),10 yrs,5 yrs,190K,10K,N/A,"$200,000",San Francisco Bay Area
Logitech,"7,250",Software Engineer,I2,ML / AI,4 yrs,3 yrs,126K,N/A,7K,"$133,000","Vancouver, WA"
Logitech,"7,250",Software Engineer,I3,Testing (SDET),11+ yrs,11+ yrs,120K,5K,12K,"$137,000","San Francisco, CA"
Logitech,"7,250",Software Engineer,hidden,hidden,0-1 yrs,0-1 yrs,90K,N/A,N/A,"$90,000","Newark, CA"
Logitech,"7,250",Software Engineer,I4,Production,8 yrs,8 yrs,100K,10K,N/A,"$110,000","Hsin-chu, TP, Taiwan"
Logitech,"7,250",Software Engineer,I1,ML / AI,2 yrs,0 yrs,123.1K,N/A,N/A,"$123,097","New York, NY"
Logitech,"7,250",Software Engineer,I4,Android,13 yrs,1 yr,185K,15K,18.5K,"$218,500","San Francisco, CA"
Logitech,"7,250",Software Engineer,I3,Testing (SDET),5-10 yrs,5-10 yrs,120K,8K,12K,"$140,000","Newark, CA"
Logitech,"7,250",Software Engineer,I2,Web Development (Front-End),4 yrs,2 yrs,51.5K,N/A,4.8K,"$56,250","Cork, CK, Ireland"
Microsoft,"182,268",Software Engineer,60,Full Stack,2 yrs,2 yrs,24K,7.2K,2.4K,"$33,576","Noida, UP, India"
Microsoft,"182,268",Software Engineer,60,API Development (Back-End),4 yrs,2 yrs,25.2K,4K,3.6K,"$32,786","Hyderabad, TS, India"
Microsoft,"182,268",Software Engineer,Principal SDE,Full Stack,13 yrs,11 yrs,73.4K,38.3K,11.7K,"$123,364","Bengaluru, KA, India"
Microsoft,"182,268",Software Engineer,Principal SDE,Distributed Systems (Back-End),20 yrs,15 yrs,220K,65K,44K,"$329,000","Seattle, WA"
Microsoft,"182,268",Software Engineer,64,API Development (Back-End),10 yrs,5 yrs,192K,50K,30K,"$272,000","Redmond, WA"
Microsoft,"182,268",Software Engineer,Senior SDE,ML / AI,10 yrs,6 yrs,183.4K,32K,27.2K,"$242,600","Seattle, WA"
Microsoft,"182,268",Software Engineer,SDE II,Distributed Systems (Back-End),5 yrs,0 yrs,160K,10K,N/A,"$170,000","Seattle, WA"
Microsoft,"182,268",Software Engineer,SDE II,API Development (Back-End),6 yrs,3 yrs,143.2K,8K,15K,"$166,244","Reston, VA"
